shrid2,road_award_date_new,road_award_date_upg,road_comp_date_new,road_comp_date_upg,road_comp_date_stip_new,road_comp_date_stip_upg,road_sanc_year_new,road_sanc_year_upg,road_length_new,road_length_upg,road_cost_new,road_cost_upg,road_cost_sanc_new,road_cost_sanc_upg,road_cost_state_new,road_cost_state_upg,road_name_new,road_name_upg
01-03-01-0002-00008200,,,,,,,,,,,,,,,,,,
01-03-01-0002-00008300,,,,,,,,,,,,,,,,,,
01-03-01-0002-00009300,,,,,,,,,,,,,,,,,,
01-03-01-0002-00009500,,,,,,,,,,,,,,,,,,
01-03-01-0002-00009700,,,,,,,,,,,,,,,,,,
01-03-01-0004-00117000,,,,,,,,,,,,,,,,,,
01-03-01-0004-00117100,,,,,,,,,,,,,,,,,,
01-03-05-0002-00494700,,,,,,,,,,,,,,,,,,
01-03-05-0002-00497500,,,,,,,,,,,,,,,,,,
01-03-07-0002-00681800,,,,,,,,,,,,,,,,,,
01-03-07-0002-00682000,,,,,,,,,,,,,,,,,,
01-03-07-0002-00682100,,,,,,,,,,,,,,,,,,
01-03-07-0003-00709400,,,,,,,,,,,,,,,,,,
01-03-07-0003-00710000,,,,,,,,,,,,,,,,,,
01-03-07-0003-00713900,,,,,,,,,,,,,,,,,,
01-03-07-0003-00714000,,,,,,,,,,,,,,,,,,
01-03-07-0003-00714100,,,,,,,,,,,,,,,,,,
01-03-07-0003-00714200,,,,,,,,,,,,,,,,,,
01-03-07-0004-00721200,,,,,,,,,,,,,,,,,,
01-03-07-0004-00721300,,,,,,,,,,,,,,,,,,
01-03-07-0004-00721400,,,,,,,,,,,,,,,,,,
01-03-07-0004-00721500,,,,,,,,,,,,,,,,,,
01-03-07-0004-00722700,,,,,,,,,,,,,,,,,,
01-03-16-0002-01109100,,,,,,,,,,,,,,,,,,
01-03-16-0002-01109900,,,,,,,,,,,,,,,,,,
01-03-16-0002-01117400,,,,,,,,,,,,,,,,,,
01-03-16-0002-01117600,,,,,,,,,,,,,,,,,,
01-03-17-0002-01187100,,,,,,,,,,,,,,,,,,
01-03-17-0005-01262800,,,,,,,,,,,,,,,,,,
01-03-17-0005-01265600,,,,,,,,,,,,,,,,,,
01-03-17-0005-01265900,,,,,,,,,,,,,,,,,,
01-03-17-0005-01266000,,,,,,,,,,,,,,,,,,
01-03-17-0005-01267200,,,,,,,,,,,,,,,,,,
01-03-17-0005-01267300,,,,,,,,,,,,,,,,,,
01-05-03-0002-00244500,,,,,,,,,,,,,,,,,,
01-05-03-0002-00245000,,,,,,,,,,,,,,,,,,
01-05-03-0002-00245100,,,,,,,,,,,,,,,,,,
01-05-06-0005-00763200,,,,,,,,,,,,,,,,,,
01-05-06-0006-00832100,,,,,,,,,,,,,,,,,,
01-05-06-0006-00849200,,,,,,,,,,,,,,,,,,
01-05-06-0006-00849400,,,,,,,,,,,,,,,,,,
01-05-06-0006-00851400,,,,,,,,,,,,,,,,,,
01-05-06-0006-00851600,,,,,,,,,,,,,,,,,,
01-05-06-0006-00856800,,,,,,,,,,,,,,,,,,
01-05-06-0006-00856900,,,,,,,,,,,,,,,,,,
01-05-08-0001-01056400,,,,,,,,,,,,,,,,,,
01-05-11-0002-01475100,,,,,,,,,,,,,,,,,,
01-05-11-0002-01475200,,,,,,,,,,,,,,,,,,
01-05-11-0004-01531400,,,,,,,,,,,,,,,,,,
01-05-13-0001-01643300,,,,,,,,,,,,,,,,,,
01-06-17-0002-00561400,,,,,,,,,,,,,,,,,,
01-06-18-0002-00593600,,,,,,,,,,,,,,,,,,
01-06-18-0002-00593700,,,,,,,,,,,,,,,,,,
01-06-18-0002-00593800,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594000,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594100,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594200,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594300,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594400,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594500,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594600,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594700,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594800,,,,,,,,,,,,,,,,,,
01-06-18-0002-00594900,,,,,,,,,,,,,,,,,,
01-06-18-0002-00595000,,,,,,,,,,,,,,,,,,
01-06-18-0002-00595100,,,,,,,,,,,,,,,,,,
01-06-18-0002-00595200,,,,,,,,,,,,,,,,,,
01-06-18-0002-00595300,,,,,,,,,,,,,,,,,,
01-06-18-0002-00595600,,,,,,,,,,,,,,,,,,
01-06-18-0002-00595700,,,,,,,,,,,,,,,,,,
01-06-18-0002-00595800,,,,,,,,,,,,,,,,,,
01-06-18-0002-00595900,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596000,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596100,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596200,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596300,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596400,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596500,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596600,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596700,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596800,,,,,,,,,,,,,,,,,,
01-06-18-0002-00596900,,,,,,,,,,,,,,,,,,
01-06-18-0002-00597000,,,,,,,,,,,,,,,,,,
01-06-18-0002-00598700,,,,,,,,,,,,,,,,,,
01-06-18-0003-00601100,,,,,,,,,,,,,,,,,,
01-06-18-0003-00607700,,,,,,,,,,,,,,,,,,
01-08-06-0007-00851700,,,,,,,,,,,,,,,,,,
