shrid2,viirs_annual_min,viirs_annual_max,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,category,year
11-01-001-00001-000001,0.0,0.0,0.0,0.0,33.47522493178258,median-masked,2022
11-01-001-00001-000002,0.0,1.29799485206604,0.4612157409713884,16.540907284527453,35.8637093558209,median-masked,2022
11-01-001-00001-000005,0.0,0.0,0.0,0.0,28.553581994958225,median-masked,2022
11-01-001-00001-000006,0.0,0.0,0.0,0.0,28.22983094927622,median-masked,2022
11-01-001-00001-000007,0.0,0.0,0.0,0.0,17.74664736102568,median-masked,2022
11-01-001-00001-000008,0.4200549721717834,1.475628137588501,0.7572774451371936,11.01851991379592,14.550175744108856,median-masked,2022
11-01-001-00001-000009,0.0,0.6310356259346008,0.049760265661861,1.404398840156051,28.22329867970257,median-masked,2022
11-01-001-00001-000010,0.0,0.940930962562561,0.3211193612067771,10.120900055653,31.51756411578026,median-masked,2022
11-01-001-00001-000011,0.0,0.5429080724716187,0.022417942483498,0.2513219254820873,11.21074896445498,median-masked,2022
11-01-001-00001-000012,0.0,0.983518660068512,0.4499728203885828,12.384943516302483,27.523759114177665,median-masked,2022
11-01-001-00001-000013,0.0,0.0,0.0,0.0,14.686655243640416,median-masked,2022
11-01-001-00001-000014,0.0,2.5190868377685547,0.7820424671485808,19.551700693621083,25.00081711023813,median-masked,2022
11-01-001-00001-000015,0.0,2.5190868377685547,1.002086563754102,23.44464955827255,23.395832661843315,median-masked,2022
11-01-001-00001-000016,0.0,0.5044546723365784,0.0003688559169234,0.0178370441636865,48.357755278702825,median-masked,2022
11-01-001-00001-000017,0.0,0.0,0.0,0.0,27.44416306949301,median-masked,2022
11-01-001-00001-000018,0.0,0.6119284629821777,0.1009572213275345,2.6199009337033816,25.950604615034536,median-masked,2022
11-01-001-00001-000019,0.0,0.0,0.0,0.0,12.88919985690154,median-masked,2022
11-01-001-00001-000020,0.0,0.7609524726867676,0.1131845659672823,5.545488576712408,48.99509512909572,median-masked,2022
11-01-001-00001-000021,0.0,0.6957823634147644,0.0132081701615437,0.4337009799681415,32.83581106721999,median-masked,2022
11-01-001-00001-000022,0.0,0.0,0.0,0.0,26.7430541056674,median-masked,2022
11-01-001-00001-000023,0.0,0.0,0.0,0.0,8.933038567309268,median-masked,2022
11-01-001-00001-000024,0.0,0.5271142721176147,0.0643006032908342,0.7315392172301216,11.37686397624202,median-masked,2022
11-01-001-00001-000025,0.0,0.4831124246120453,0.0620753904807992,0.8706646221852736,14.025922598981992,median-masked,2022
11-01-001-00001-000026,0.0,0.0,0.0,0.0,7.604134852066636,median-masked,2022
11-01-001-00001-000027,0.0,0.6540494561195374,0.2666126593597037,0.8167199124537503,3.063320077955723,median-masked,2022
11-01-001-00001-000028,0.0,0.612085223197937,0.1233584854335127,1.1036644751477844,8.94680630415678,median-masked,2022
11-01-001-00001-000029,0.0,1.2028783559799194,0.4395145802059457,2.343032343575871,5.330954760313034,median-masked,2022
11-01-001-00001-000030,0.0,1.2028783559799194,0.7663292539109217,5.755053954208108,7.509897246956825,median-masked,2022
