rank,village_name,state,district,latitude,longitude,population,viirs_2019,viirs_latest,nl_pct_growth,nl_growth_x,road_connected,road_km,score_0_100,growth_tier
1,kaliyapani grant,assam,sivasagar,,,1000.0,0.18394017125534856,5.787465396723146,3046.3681334772737,31.46,1.0,2.05,84.55,Tier 1 - Hotspot
2,ekarani grant,assam,sivasagar,,,1000.0,0.09244262476082865,7.665796927909147,3082.910354575346,82.92,0.0,0.0,80.0,Tier 1 - Hotspot
3,bahar patti,uttar pradesh,jaunpur,,,1000.0,0.036844863927067095,1.4914549603099263,3082.910354575346,40.48,1.0,9.5,71.41,Tier 2 - High Growth
4,bhuwangarh,madhya pradesh,mandsaur,,,1000.0,0.0271491750110219,1.360336977227814,3082.910354575346,50.1,1.0,22.0,71.21,Tier 2 - High Growth
5,kadlur,karnataka,hassan,,,1000.0,0.0272297641084908,1.1855966116303294,3082.910354575346,43.54,1.0,9.81,70.26,Tier 2 - High Growth
6,bashbaruni,west bengal,north twenty four parganas,,,1000.0,0.0200398041668113,1.0241542364584433,3082.910354575346,51.1,1.0,10.64,69.68,Tier 2 - High Growth
7,timli,uttarakhand,tehri garhwal,,,1000.0,0.004477735323337751,0.9445880185127424,3082.910354575346,210.91,1.0,16.02,69.31,Tier 2 - High Growth
8,mirpur,punjab,hoshiarpur,,,1000.0,0.0023044279018461502,0.7700839277328277,3082.910354575346,334.03,1.0,20.35,68.52,Tier 2 - High Growth
9,paro,west bengal,maldah,,,1000.0,0.00011820892682125,0.764111120705099,3082.910354575346,6409.85,1.0,17.0,68.49,Tier 2 - High Growth
10,shahjahanpur garhi,uttar pradesh,bijnor,,,1000.0,0.01689811744049495,0.7022191105691598,3082.910354575346,41.55,1.0,21.45,68.21,Tier 2 - High Growth
11,amjhupi,west bengal,nadia,,,1000.0,0.01125288369437785,0.6290588876006796,3082.910354575346,55.9,1.0,15.4,67.87,Tier 2 - High Growth
12,jot chandi,west bengal,maldah,,,1000.0,0.02111001293816165,1.7892147568431425,3082.910354575346,84.75,1.0,3.35,67.85,Tier 2 - High Growth
13,nagla raijeet,rajasthan,dhaulpur,,,1000.0,0.00686347324186725,0.5957219143163721,3082.910354575346,86.78,1.0,19.0,67.72,Tier 2 - High Growth
14,ismailpur,punjab,gurdaspur,,,1000.0,0.00818932924053765,0.575998482556022,3082.910354575346,70.33,1.0,22.16,67.63,Tier 2 - High Growth
15,8 nn a,rajasthan,ganganagar,,,1000.0,0.00821973549353845,0.5683625289253631,3082.910354575346,69.14,1.0,11.0,67.59,Tier 2 - High Growth
16,passiyal,punjab,gurdaspur,,,1000.0,0.0046034469861419,0.5619471826213812,3082.910354575346,122.04,1.0,22.16,67.57,Tier 2 - High Growth
17,bhadar,west bengal,maldah,,,1000.0,0.013249855463291351,0.4963126917466969,3082.910354575346,37.46,1.0,10.5,67.27,Tier 2 - High Growth
18,lingapura,karnataka,bangalore rural,,,1000.0,0.00024015642246295,0.48178561839721434,3082.910354575346,1997.81,1.0,10.1,67.2,Tier 2 - High Growth
19,lamsarai,madhya pradesh,singrauli,,,1000.0,0.00612417308933585,0.5399688212399443,3082.910354575346,88.16,1.0,9.6,67.15,Tier 2 - High Growth
20,hiduvanahalli,karnataka,hassan,,,1000.0,0.00102380189731175,0.42218706909777814,3082.910354575346,411.97,1.0,11.04,66.93,Tier 2 - High Growth
21,makarkendi,west bengal,puruliya,,,1000.0,0.000231631573339,0.45285315669836024,3082.910354575346,1946.65,1.0,9.8,66.91,Tier 2 - High Growth
22,siron,uttarakhand,dehradun,,,1000.0,2.7372262407272904e-05,0.4115517043677567,3082.910354575346,14505.42,1.0,17.71,66.88,Tier 2 - High Growth
23,narpara,assam,nalbari,,,1000.0,0.0064279628861902,0.3999574508755125,3082.910354575346,62.21,1.0,11.33,66.83,Tier 2 - High Growth
24,bhagabeda,odisha,mayurbhanj,,,1000.0,0.00551316303124455,0.35440411069902733,3082.910354575346,64.27,1.0,11.07,66.62,Tier 2 - High Growth
25,daykhand,odisha,baleshwar,,,1000.0,0.00687601980377835,0.3322809963813109,3082.910354575346,48.32,1.0,11.65,66.52,Tier 2 - High Growth
26,totasahi,odisha,bhadrak,,,1000.0,0.00463313304670105,0.32453620237828895,3082.910354575346,70.03,1.0,10.05,66.48,Tier 2 - High Growth
27,mudpar,chhattisgarh,durg,,,1000.0,0.0087373619087424,0.3196396607667996,3082.910354575346,36.58,1.0,19.0,66.46,Tier 2 - High Growth
28,niyas,madhya pradesh,singrauli,,,1000.0,0.0249501769656438,0.7810516935063563,3030.3240507725013,31.3,1.0,8.3,66.46,Tier 2 - High Growth
29,pratappur,west bengal,murshidabad,,,1000.0,0.0058223658561788,0.3168604657786783,3082.910354575346,54.41,1.0,14.99,66.45,Tier 2 - High Growth
30,voda pora udh pora,jammu kashmir,kupwara,,,1000.0,0.0031908854049371,0.31297336042277957,3082.910354575346,98.05,1.0,13.7,66.43,Tier 2 - High Growth
31,sonadhap,jharkhand,dumka,,,1000.0,0.0056960011569626,0.36345793355345457,3082.910354575346,63.8,1.0,9.65,66.38,Tier 2 - High Growth
32,chadheya,odisha,kendrapara,,,1000.0,0.014894612835513299,0.7011562805385378,3082.910354575346,47.07,1.0,7.7,66.36,Tier 2 - High Growth
33,sirepani,madhya pradesh,chhindwara,,,1000.0,0.0033287119275648503,0.2964262375730211,3082.910354575346,89.02,1.0,12.3,66.35,Tier 2 - High Growth
34,korna,chhattisgarh,jashpur,,,1000.0,0.00742020138470965,0.29453101104091317,3082.910354575346,39.69,1.0,11.0,66.34,Tier 2 - High Growth
35,khadikasol,odisha,mayurbhanj,,,1000.0,2.5988065568659872e-05,0.29436605243877545,3082.910354575346,10907.27,1.0,13.9,66.34,Tier 2 - High Growth
36,bishnupur,odisha,baleshwar,,,1000.0,0.00555624382192065,0.7463178839265178,3082.910354575346,134.3,1.0,7.4,66.33,Tier 2 - High Growth
37,kamrabandh,jharkhand,godda,,,1000.0,0.00254512129501765,0.2884138637791951,3082.910354575346,113.28,1.0,10.0,66.32,Tier 2 - High Growth
38,bija bhatoli,punjab,hoshiarpur,,,1000.0,0.00319011175434105,0.2816271573241881,3082.910354575346,88.25,1.0,20.35,66.29,Tier 2 - High Growth
39,kalwani,uttarakhand,almora,,,1000.0,0.00436778610390205,0.2747105944992095,3082.910354575346,62.88,1.0,10.15,66.25,Tier 2 - High Growth
40,betagram,west bengal,paschim medinipur,,,1000.0,0.0010485818080986,0.27060915314324674,3082.910354575346,257.83,1.0,11.1,66.24,Tier 2 - High Growth
41,vasthare,karnataka,chikmagalur,,,1000.0,0.00042367717857745,0.26414957893904056,3082.910354575346,622.0,1.0,15.72,66.21,Tier 2 - High Growth
42,kuriapara,west bengal,puruliya,,,1000.0,0.00587837234767435,0.26152814524905627,3082.910354575346,44.48,1.0,14.92,66.19,Tier 2 - High Growth
43,fugale,maharashtra,thane,,,1000.0,0.09868899762839756,4.636041606542538,3082.910354575346,46.98,0.0,0.0,66.17,Tier 2 - High Growth
44,5 ntr,rajasthan,hanumangarh,,,1000.0,0.0014984088343293,0.23568777722012135,3082.910354575346,157.19,1.0,29.3,66.08,Tier 2 - High Growth
45,gorakhpur,madhya pradesh,balaghat,,,1000.0,0.0057605974806701,0.21856057190111294,3082.910354575346,37.93,1.0,10.0,66.0,Tier 2 - High Growth
46,maheshpur,chhattisgarh,surguja,,,1000.0,7.867693451923012e-05,0.214709710628944,3082.910354575346,2694.75,1.0,17.1,65.98,Tier 2 - High Growth
47,bhoiguda,odisha,koraput,,,1000.0,0.003348351720917,0.2024738618928727,3082.910354575346,60.45,1.0,14.7,65.92,Tier 2 - High Growth
48,phulkusma,west bengal,bankura,,,1000.0,0.0024738115491685503,0.1880722979938547,3082.910354575346,75.99,1.0,10.94,65.86,Tier 2 - High Growth
49,lakshmipur,west bengal,maldah,,,1000.0,0.00139055038842825,0.18531514699025775,3082.910354575346,133.17,1.0,10.5,65.85,Tier 2 - High Growth
50,tora,chhattisgarh,jashpur,,,1000.0,0.0005114886053827,0.1819724354188525,3082.910354575346,355.08,1.0,19.2,65.83,Tier 2 - High Growth
51,urvalu,karnataka,dakshina kannada,,,1000.0,0.00342781323302095,0.1798700844198432,3082.910354575346,52.46,1.0,18.27,65.82,Tier 2 - High Growth
52,furdi heti,maharashtra,chandrapur,,,1000.0,0.0009607579423221,0.17555593659894758,3082.910354575346,182.54,1.0,22.35,65.8,Tier 2 - High Growth
